Location
Wind class
Hub height,80
Cutin speed,3
Cutout speed,23

Hour,Adjust power based on air density (kW),P/Pr based on air density (%)
863,931.1052013863,31.04
864,1119.6178346221618,37.32
865,983.6422928867042,32.79
866,791.2283523657898,26.37
867,226.53127551499932,7.55
868,78.0807403152089,2.6
869,1.824077999199646,0.06
870,0.0,0.0
871,241.0729201448029,8.04
872,1667.6623441896209,55.59
873,2958.0944270888926,98.6
874,2996.0880134522113,99.87
875,3005.230182910909,100.17
876,2524.8478328895217,84.16
877,2053.743013684022,68.46
878,2440.346234761728,81.34
879,3024.07517439713,100.8
880,3078.2126373138112,102.61
881,3083.0048867896776,102.77
882,3089.814874025384,102.99
883,3046.734137064846,101.56
884,3053.5569168552843,101.79
885,3085.5404015247823,102.85
886,3122.9634179542004,104.1
887,2883.321785323,96.11
888,2466.3023839867233,82.21
889,2273.3063145393035,75.78
890,1651.4426559879666,55.05
891,1093.2515707765076,36.44
892,457.69300789163293,15.26
893,157.75793193104906,5.26
894,133.64999292719907,4.45
895,194.69784760616696,6.49
896,433.5540350851834,14.45
897,179.13106190489825,5.97
898,0.0,0.0
899,0.0,0.0
900,0.0,0.0
901,0.0,0.0
902,0.8582787210739671,0.03
903,14.032061760961009,0.47
904,90.70576697803233,3.02
905,257.23939893835836,8.57
906,492.8705671705282,16.43
907,838.1631006279878,27.94
908,1196.6218691133838,39.89
909,1716.0931716676048,57.2
910,2668.3609225946952,88.95
911,2900.3759451691235,96.68
912,2723.896606549173,90.8
913,2846.097259212925,94.87
914,2955.4646623436442,98.52
915,2865.7234886074284,95.52
916,2875.96822849521,95.87
917,2870.080566468718,95.67
918,2972.385656006377,99.08
919,3098.5891290470404,103.29
920,3126.050568890684,104.2
921,3123.1297136663397,104.1
922,3119.415134828067,103.98
923,3111.8160310804915,103.73
924,3105.5638057437445,103.52
925,3100.9944980644923,103.37
926,3087.169183232792,102.91
927,3074.066256957195,102.47
928,3060.2406751376866,102.01
929,3050.4369736447957,101.68
930,3043.6435710307524,101.45
931,3040.939802908706,101.36
932,3039.9822181741242,101.33
933,3038.888406119153,101.3
934,3040.088469622187,101.34
935,3045.933155518939,101.53
936,3054.4802125138417,101.82
937,2104.4261637948816,70.15
938,2142.3817766761617,71.41
939,1711.904425761781,57.06
940,595.313555116376,19.84
941,15.068403215394524,0.5
942,368.6163836527496,12.29
943,717.013018543717,23.9
944,1806.3107214791487,60.21
945,1074.5638729878854,35.82
946,1121.8958719896334,37.4
947,2383.7259590568274,79.46
948,2275.168640368614,75.84
949,2440.216706643412,81.34
950,2363.1356080165624,78.77
951,2398.88044410518,79.96
952,2709.2309489213358,90.31
953,2743.1003144582487,91.44
954,2952.5522310575075,98.42
955,2987.1749967045416,99.57
956,2997.908995298146,99.93
957,3131.12414814519,104.37
958,3172.10870250024,105.74
959,3185.597819383072,106.19
960,3071.683380163631,102.39
961,3019.466979014527,100.65
962,2926.2942537914787,97.54
963,3001.4484630133484,100.05
964,2681.4133530357267,89.38
965,2403.003091268069,80.1
966,2343.643831546473,78.12
967,1669.690189034763,55.66
968,1476.7064844534264,49.22
969,1559.9921741784142,52.0
970,1214.7950097617716,40.49
971,579.0968122117699,19.3
972,321.10592523292627,10.7
