Location,AZ
Solar technology,Photovoltaic (PVWatts)

Name,Value,Unit
Run lifetime simulation,0.0,0/1
Daily average solar irradiance,4.184717546768572,kWh/m2/day
Annual AC output,14244370.52939821,kWh
Annual energy,14244370.529398205,kWh
Capacity factor,13.550580792806512,%
Energy yield,1187.0308774498503,kWh/kW
Location ID,1187.0308774498503,
City,1187.0308774498503,
State,1187.0308774498503,
Latitude,43.09000015258789,deg
Longitude,-74.9000015258789,deg
Time zone,-5.0,hr
Site elevation,390.0,m
Inverter efficiency at rated power,96.0,%
Estimated number of rows in the system,200.0,
Time offset for interpreting time series outputs,0.5,hours
Estimated percent of total completed simulation,99.89726257324219,%
Capacity factor of the interconnection (year 1),0.0,%
Annual Energy AC pre-interconnection (year 1),0.0,kWh
Annual Energy AC (year 1),14244370.529398205,kWh
Annual Energy loss from interconnection limit (year 1),0.0,%
Annual Energy loss from interconnection limit (year 1),0.0,kWh
Capacity factor of the curtailment (year 1),0.0,%
Annual Energy AC pre-curtailment (year 1),14244370.529398205,kWh
Annual Energy loss from curtailment (year 1),0.0,%
Annual Energy loss from curtailment (year 1),0.0,kWh
Annual energy production as function of time,0.0,kW

Hour,System power generated (kW),Annual energy production as function of time (kW),Irradiance GHI from weather file (W/m2),Irradiance DNI from weather file (W/m2),Irradiance DHI from weather file (W/m2),Weather file ambient temperature (C),Weather file wind speed (m/s),Weather file snow depth (cm),Sun up over horizon (0/1),Shading factor for beam radiation (),Angle of incidence (deg),Plane of array irradiance (W/m2),Transmitted plane of array irradiance (W/m2),Module temperature (C),DC power loss due to snow (%),DC inverter input power (W),AC inverter output power (W),System power generated (kW),Annual energy production as function of time (kW),System power generated (kW),System power before grid interconnect (kW),System power before grid curtailment (kW)
56,218.1250359120097,218.1250359120097,31.0,0.0,31.0,-4.0,1.0,nan,1.0,1.0,61.74811738234499,26.002683583964185,24.95582321751459,-6.017963191989168,1.0,284591.2137284345,218125.0359120097,218.1250359120097,218.1250359120097,218.1250359120097,0.0,218.1250359120097
57,262.93260619269506,262.93260619269506,35.0,0.0,35.0,-4.0,1.100000023841858,nan,1.0,1.0,49.98826857731048,29.328896045360988,28.14809849887812,-5.685994686939694,1.0,330263.7022448423,262932.60619269504,262.93260619269506,262.93260619269506,262.93260619269506,0.0,262.93260619269506
58,521.6840725090618,521.6840725090618,63.0,0.0,63.0,-4.0,1.100000023841858,nan,1.0,1.0,40.11710278412842,52.93924053589585,50.80800387901632,-4.846687650274021,1.0,594138.8215316633,521684.07250906184,521.6840725090618,521.6840725090618,521.6840725090618,0.0,521.6840725090618
59,2260.19296019697,2260.19296019697,186.0,51.0,165.0,-4.0,1.100000023841858,nan,1.0,1.0,33.901562715689145,213.44182166956276,207.3495908526223,0.7919987989953938,1.0,2372812.5402072934,2260192.96019697,2260.19296019697,2260.19296019697,2260.19296019697,0.0,2260.19296019697
60,3802.547012683431,3802.547012683431,252.0,193.0,174.0,-4.0,1.100000023841858,nan,1.0,1.0,33.46453312728894,357.7307109809227,352.7981041449367,6.422383147030871,1.0,3959261.4365057326,3802547.012683431,3802.547012683431,3802.547012683431,3802.547012683431,0.0,3802.547012683431
61,7807.591723409023,7807.591723409023,379.0,809.0,86.0,-4.0,1.0,nan,1.0,1.0,39.00186910782062,757.0215530135567,757.0215530135567,19.971942177431856,1.0,8116863.245500846,7807591.723409023,7807.591723409023,7807.591723409023,7807.591723409023,0.0,7807.591723409023
62,6149.326152633164,6149.326152633164,274.0,725.0,73.0,-4.0,0.8999999761581421,nan,1.0,1.0,48.49877482898565,589.8581651544093,589.3606310537173,17.373363460140354,1.0,6388680.12306737,6149326.152633164,6149.326152633164,6149.326152633164,6149.326152633164,0.0,6149.326152633164
63,1180.1199164394488,1180.1199164394488,78.0,110.0,61.0,-4.0,0.800000011920929,nan,1.0,1.0,60.07506988125812,116.64040563313746,112.7790335606816,1.3321069185607826,1.0,1266607.4531660858,1180119.9164394487,1180.1199164394488,1180.1199164394488,1180.1199164394488,0.0,1180.1199164394488
64,0.0,0.0,0.0,0.0,0.0,-5.0,0.699999988079071,nan,1.0,1.0,72.41720634400362,0.0,0.0,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,-5.0,0.6000000238418579,nan,0.0,1.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
